experiment,category,learner,query_strategy,kernel,length_scale, nu, n_learners, n_initial,n_queries,r2
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,2,10,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,5,10,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,5,20,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,10,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,20,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,40,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,80,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,20,10,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,20,20,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,20,40,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,20,80,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,2,40,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,2,80,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,5,40,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,5,80,100,-14.42578135
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,2,20,100,-14.42578134
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=2)",0.644444444,2,10,80,100,-2.748307268
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.57)",0.644444444,1.571428571,10,80,100,-1.498974954
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,10,10,100,0.242149766
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,2,10,100,0.266287873
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,2,10,100,0.289639552
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,2,10,100,0.291049065
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,5,10,100,0.294032319
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,2,10,100,0.294963173
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,5,10,100,0.300615367
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,10,10,100,0.301983893
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,2,20,100,0.304103934
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,2,40,100,0.308054081
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,2,20,100,0.309881968
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,5,20,100,0.313314448
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,2,20,100,0.317003661
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,2,10,100,0.317205859
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,5,10,100,0.323830624
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,5,10,100,0.324153279
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,2,10,100,0.325172483
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,2,40,100,0.326961074
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,2,10,100,0.327402298
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,2,20,100,0.327754466
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,2,10,100,0.331377749
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,5,20,100,0.332422678
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,5,20,100,0.333833837
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,2,20,100,0.335550356
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,5,10,100,0.337429801
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,5,20,100,0.338387395
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,5,10,100,0.34033867
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,5,10,100,0.341952216
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,10,10,100,0.34482746
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,2,40,100,0.346008861
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,5,10,100,0.349678976
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,10,10,100,0.351338735
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,10,10,100,0.352131512
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,2,10,100,0.354014913
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,2,40,100,0.354173276
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,2,20,100,0.357035972
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,2,20,100,0.359116419
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,2,20,100,0.360022724
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,2,40,100,0.360362373
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,2,40,100,0.360759627
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,2,20,100,0.360786032
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.14)",0.644444444,1.142857143,10,80,100,0.360958527
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,10,10,100,0.364782497
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,5,20,100,0.368468979
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,2,40,100,0.369990442
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,10,10,100,0.370365833
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,2,40,100,0.371564786
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,10,10,100,0.372010043
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,5,20,100,0.372272283
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,5,10,100,0.373787988
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,10,20,100,0.376908847
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,10,10,100,0.377088704
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,5,20,100,0.378178773
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,2,40,100,0.380422161
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,5,20,100,0.392697924
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,2,80,100,0.397653008
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,2,80,100,0.400696039
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,10,20,100,0.404263516
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,5,40,100,0.408519761
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,20,10,100,0.417491667
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,2,80,100,0.419060453
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,5,20,100,0.420076313
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,5,40,100,0.42083837
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,2,80,100,0.422596915
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,5,40,100,0.429743918
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,2,80,100,0.430663457
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,20,10,100,0.43136676
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,20,20,100,0.432778181
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,5,40,100,0.436288923
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,5,40,100,0.436360638
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,10,20,100,0.440682773
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,10,20,100,0.441638848
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,20,10,100,0.441738212
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,10,40,100,0.441871759
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,10,20,100,0.443422813
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,20,10,100,0.444994727
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,2,80,100,0.44508925
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,10,20,100,0.445447525
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,10,40,100,0.446406302
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,10,20,100,0.447477974
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,20,10,100,0.447679012
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,20,20,100,0.448558936
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,20,10,100,0.448594474
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,20,10,100,0.451571702
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,20,40,100,0.452319326
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,5,40,100,0.45268904
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,10,40,100,0.453604641
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,10,20,100,0.455781836
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,5,40,100,0.456351549
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,2,80,100,0.456605657
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=0.5)",0.644444444,0.5,10,80,100,0.45762522
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,20,20,100,0.458908516
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,20,20,100,0.461365703
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,20,10,100,0.461543132
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=0.714)",0.644444444,0.714285714,10,80,100,0.461791718
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,2,80,100,0.462556762
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,10,20,100,0.462816315
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,20,20,100,0.465468303
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,20,10,100,0.466354537
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=0.929)",0.644444444,0.928571429,10,80,100,0.4669962
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,20,40,100,0.46753035
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,20,20,100,0.46763323
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,5,40,100,0.468795218
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,10,40,100,0.470601466
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,10,40,100,0.470625527
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,5,40,100,0.473766852
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,20,20,100,0.474925524
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,5,80,100,0.475992032
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,10,40,100,0.478499171
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,5,80,100,0.482640848
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,20,40,100,0.483478383
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,20,80,100,0.483532989
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,10,40,100,0.483695521
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,2,80,100,0.484670919
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,20,20,100,0.48508346
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,20,40,100,0.485843847
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,20,80,100,0.486961751
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,20,40,100,0.487188768
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,20,40,100,0.487581545
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,5,80,100,0.488392327
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.79)",0.644444444,1.785714286,10,80,100,0.489292979
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,20,80,100,0.490142258
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,20,80,100,0.491987272
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,20,40,100,0.492346607
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,10,40,100,0.492862383
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,5,80,100,0.492919991
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.36)",0.644444444,1.357142857,10,80,100,0.493679947
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,10,80,100,0.494373909
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,20,20,100,0.495183768
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,5,80,100,0.495206317
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,20,80,100,0.496246099
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,10,80,100,0.496623121
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=4.46, nu=1.5)",4.455555556,1.5,10,80,100,0.497265817
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,20,80,100,0.497716068
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,20,80,100,0.497876847
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,10,80,100,0.498880026
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,10,40,100,0.499407655
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.19, nu=1.5)",1.188888889,1.5,10,80,100,0.502094966
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.82, nu=1.5)",2.822222222,1.5,5,80,100,0.50217868
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=2.28, nu=1.5)",2.277777778,1.5,20,80,100,0.502918801
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,20,40,100,0.503276986
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,5,80,100,0.503674572
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1.73, nu=1.5)",1.733333333,1.5,10,80,100,0.505182134
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,10,80,100,0.507239205
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,5,80,100,0.507384755
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=2.5)",0.644444444,2.5,10,80,100,0.509102183
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.37, nu=1.5)",3.366666667,1.5,20,80,100,0.509522587
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,20,40,100,0.510994594
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=3.91, nu=1.5)",3.911111111,1.5,10,80,100,0.514353021
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=5, nu=1.5)",5,1.5,5,80,100,0.514391937
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,10,80,100,0.524567228
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=1.5)",0.644444444,1.5,10,80,200,0.548114221
pre-id,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.644, nu=2.5)",0.644444444,2.5,10,80,200,0.559886707
3_11,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1e-10, nu=1.5)",1.00E-10,1.5,10,80,100,-14.42578135
3_11,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1e-05, nu=1.5)",1.00E-05,1.5,10,80,100,-14.42578135
3_11,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.01, nu=1.5)",0.01,1.5,10,80,100,-14.42578135
3_11,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=0.1, nu=1.5)",0.1,1.5,10,80,100,-14.42578135
3_11,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=1, nu=1.5)",1,1.5,10,80,100,0.496843032
3_11,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=10, nu=1.5)",10,1.5,10,80,100,0.513822873
3_11,Committee,Gaussian Process,max_std_sampling,"Matern(length_scale=100, nu=1.5)",100,1.5,10,80,100,-14.42578135