experiment,category,learner,query_strategy,kernel,rbf_length_scale,white_noise_scale,n_learners,n_initial,n_queries,r2
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.64),0.45,0.640419417,10,80,100,-0.008639932
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.261),0.45,0.26055822,10,80,100,0.346372546
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.211),0.45,0.211403186,10,80,100,0.364711528
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.904),0.45,0.904299961,10,80,100,0.343375676
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.473),0.45,0.473237321,10,80,100,0.301793714
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.119),0.45,0.119194251,10,80,100,-0.028807028
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.988),0.45,0.987510121,10,80,100,0.368277919
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.21),0.45,0.210042346,10,80,100,0.39408905
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.43),0.45,0.429735983,10,80,100,0.036907118
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.118),0.45,0.117699008,10,80,100,0.389304683
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.122),0.45,0.122082485,10,80,100,0.198083838
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.965),0.45,0.96528609,10,80,100,0.386851433
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.722),0.45,0.721580174,10,80,100,0.186374042
3.4,Committee,Gaussian Process,max_std_sampling,RBF(length_scale=0.45) + WhiteKernel(noise_level=0.647),0.45,0.646562642,10,80,100,0.37294017